subject,version,condition,story_id,story,test_story_id,imagine,response,responseRT,rating_will,rating_happy,rating_justif1,rating_justif2,rating_detail,rating_cohere,ratingRT,justif1RT,stamp,id
A2A1FS0KVLJ9ZT,experiment3_replication_real,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,1,"I imagined myself not wanting to deal with the whole thing. I have a flight to catch, and I'm sure that person does too, but maybe they should've packed lighter or something. In other scenario, one where I am not in a hurry, I might slow down to help them. But there's no time to do so.",120011,6.89,4.99,-1,6.02,5.97,5.98,9444,8155,2021-12-21 13:24:36,12833
A2XQ3CFB5HT2ZQ,experiment3_replication_real,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,1,That this old person is cranky and yelling while they are looking for a seat. They are not a nice person and are shouting at people who are sitting. I have hurt my leg and find no reason to stand just to mollify this cranky person. I could care less if they find a seat. If I don't sit I won't be able to walk home from the train stop.,120013,6.41,4.65,-1,6.26,5.76,6.2,10360,9878,2021-12-21 13:25:36,12834
A2AT5B7RW4VXBX,experiment3_replication_real,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,0,"seat-beat-cleat-feet-meet-
sit-bit-nit-kit-fit-
table-fable-hable-cable-
",120009,1,1,-1,1,-1,-1,7294,3354,2021-12-21 13:25:36,12835
A19TD2J8506A4Y,experiment3_replication_real,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,1,"I have an assignment which involves watching a movie. If I don't watch the movie, I cannot complete my assignment and will fail a class. When I get to the movie, the line is so long that it is sold out. The only way I can make it in to watch the movie is to find a way to get in line somewhere. I spot my friend in the middle of the line, and I explained to them that I must see the movie to pass the class. They agreed to let me cut into line just so that I can make sure to see the movie and pass the class.",120014,5.94,6.96,-1,6,6.94,6.98,17677,7646,2021-12-21 13:25:57,12836
A11S8IAAVDXCUS,experiment3_replication_real,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,1,"My spouse and I have both been on maternity/paternity leave and during his leave, he has barely helped at all. He spends most of his time playing his video game while I'm with the baby. I'm exhausted and when the baby cried, I knew I had to let him do it because he HAD to start helping and I could barely keep my eyes open.",120001,7,4,-1,6,6.04,7,6440,4917,2021-12-21 13:26:08,12837
ANHO7XT3KW3IY,experiment3_replication_real,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,1,The elderly person got on the train and started yelling obscenities at people on the train. They were being very rude and aggressive. They yelled at a young woman who looked terrified and she had an open seat next to her so I took it to save her having to sit next to the person and hear more berating from them. The woman is relieved and thanks me so I feel justified in taking the seat.,120009,3.99,1.96,-1,5.54,6.96,7,24104,8746,2021-12-21 13:26:51,12838
A278Q2BHCINITH,experiment3_replication_real,0,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,1,"I'm sitting in the lunch room at work with 3 co-workers which are also my friends.  There are only 4 sitting spots at the table.  In the back of the room, I see another worker sitting alone, just getting up from her seat.  She lifts her tray and begins to walk over toward us.  She arrives at our table and asks if she can sit with us.  I look at her and smile, saying that there is just no more room at this table.  She turns away, walks away.  She goes back to where she was sitting but this time, she turns",119988,3.01,2.04,-1,2.03,6.1,6.41,14002,9811,2021-12-21 13:27:01,12839
A2DLYBXZNSSJ4S,experiment3_replication_real,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,0,Here comes a train ,120009,5.08,4.26,-1,4.84,-1,-1,2951,2242,2021-12-21 13:27:46,12840
A3I5EF53A51KYU,experiment3_replication_real,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,1,"very well feelings and suggestions, or complaints that have not been or cannot be addressed by the researcher, or to report research-related harm, please contact the Committee on the Use of Human Subjects in Research at Harvard University",120009,6.03,5.21,-1,6.07,5.91,6.06,8778,3610,2021-12-21 13:27:56,12841
A2A1FS0KVLJ9ZT,experiment3_replication_real,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,1,"I just want to cut down on my time spent in the line. I also want to get a ticket before it sells out. I honestly don't care much about the person I know; they're just a pawn in all of this, a means to an end. And so I rush past everyone else, throwing a hand up in the air, and say something like ""Sorry I'm late,"" to make it seem like we were going in together.",120013,4.92,5.03,-1,5.96,6.05,6.05,20175,2817,2021-12-21 13:27:57,12842
A9IYXJT90J0NK,experiment3_replication_real,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,1,"I was walking down the sidewalk after leaving a coffee shop. I see a woman up ahead of me paying for flowers from a stand. I then see some money fly out of her purse. I think maybe it was just a single bill. It flew against the sidewalk. I run to try to get it for her but by that time, I lost her. I picked up the bill and figured I would just keep it instead of trying to look for her too hard. I feel a little bad about it but didn't have many other options.",120006,2.97,2.95,-1,2.97,5.89,5.9,11393,7762,2021-12-21 13:28:01,12843
A1P9ZZAW0TMNTR,experiment3_replication_real,0,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,1,"My wife got out of the hospital not long ago, and the baby has woken her up many days in a row. I was too tired to even bother, as I had work early in the morning. I pretended to be asleep in hopes that she will get up and take care of the baby. After a few shuffles and grunts, and seeing if I was awake, she gets up and takes care of the baby. I felt horrible,",120013,2.01,2.04,-1,2.96,5.82,5.39,9570,5487,2021-12-21 13:28:27,12844
A2AT5B7RW4VXBX,experiment3_replication_real,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,0,"walking-stalking-caulking-balking-
fifty-nifty-thrifty-snifty-
ground-pound-round-found-mound-
pick-rick-dick-hick-lick-tick-sick-wick-nick-
bad-rad-sad-mad-gad-tad-had-lad-",120002,6.88,4,-1,7,-1,-1,7084,3151,2021-12-21 13:28:40,12845
A2XQ3CFB5HT2ZQ,experiment3_replication_real,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,1,My roommate leaves dishes in the sink for me to clean and they are hers. She doesn't help with the household chores and when I had groceries to bring up the stairs she left me to make trips. I have repeatedly asked her to help me and she never does. I actually laughed when I left and enjoyed my beer at the bar even more. Karma I thought. ,120006,7,7,-1,7,6.36,6.58,7849,4052,2021-12-21 13:28:42,12846
A11S8IAAVDXCUS,experiment3_replication_real,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,1,"The man that I thought dropped the bill had just pushed an elderly man out his way. The elderly man fell and the money man didn't even bother to stop and help him. As he took off, the bill fell out.",120001,4.01,4,-1,3.96,4,2.97,5209,8456,2021-12-21 13:29:19,12847
A19TD2J8506A4Y,experiment3_replication_real,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,1,"Sitting in the cafeteria with my friends, we are eating lunch. Out of nowhere, someone I don't know comes to my table and asks if they can sit down with us. The person's eyes are bloodshot, and he has a runny nose. While he speaks, he is coughing very loudly. I can tell pretty quickly that he has a terrible cold. If he sits down at my table, I'm going to get sick, and so will all of my friends. I shake my head and tell the guy, no, there's no room at this table left. He drops his food and passes out onto the floor.",120001,6.86,2.9,-1,6.86,6.81,6.88,11981,5644,2021-12-21 13:29:33,12848
AKZUP3VY594E8,experiment3_replication_real,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,1,"The customer is a young person who has never bought a car before, and she's working as a teacher and making a very low income, so she really can't afford to buy a car that doesn't work well. I'm trying to sell as many cars as possible because I'm competing with one of my colleagues who I really dislike, and I want to get an award is the best salesman of the month by selling more cars than my colleague. So when the woman comes in, and I noticed that she's naÃ¯ve and doesn't know much about cars, I decide to lie to her so that she'll buy the car even though I know there are many things wrong with it.",120002,1,1,-1,1,5.96,5.44,5431,2765,2021-12-21 13:29:38,12849
A1WEN4S934ZZ1U,experiment3_replication_real,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,0,"Wig, pig, dig, rig, oath, loaf, toss, sauce, floss, across, cursed, worst, first, thirst, bore, boar, core, four, floor, pour, roar, more, sore, door, ",120016,3.02,3.03,-1,4,-1,-1,36548,30665,2021-12-21 13:29:46,12850
A14KDNZSWDFIE7,experiment3_replication_real,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,0,"",120005,5.96,4.76,-1,5.07,-1,-1,6355,53788,2021-12-21 13:29:54,12851
ANHO7XT3KW3IY,experiment3_replication_real,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,0,"boo, sue, moo, two, too, coo, chew, sand, band, far, tar, car, char, trig, commotion, sore, tore, four, fore, toss, moss, fawn, rid, bid, mid, ",120013,1,2.99,-1,2.01,-1,-1,15219,4720,2021-12-21 13:30:02,12852
A278Q2BHCINITH,experiment3_replication_real,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,1,"My manager calls me into her office.  I arrive and she asks me to close the office door.  She tells me she is trying to write up a some things about my co-worker as both she and I are being considered for a big promotion.  I am to share with her what I know.  I tell her a number of things which are not particularly positive.  I focus on lateness, lack of communication, not following through in time and the other persons general lack of working well with others.  I have embellish a little bit but most of it seems true to me.",120009,1.05,1.07,-1,1.03,5.11,6.06,12011,4362,2021-12-21 13:30:29,12853
A3I5EF53A51KYU,experiment3_replication_real,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,0,very valuable points and there is a story about elderly person searching for a seat. very clear one and good about me all thinking,120012,6.59,6.83,-1,6.47,-1,-1,4866,3129,2021-12-21 13:30:48,12854
A2DLYBXZNSSJ4S,experiment3_replication_real,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,1,It was not a good thing we need to give them back their money it's immoral to do such a thing. We need to be straight forward.,120001,5.35,4.11,-1,1.21,3.19,4.05,3121,6261,2021-12-21 13:31:00,12855
A2A1FS0KVLJ9ZT,experiment3_replication_real,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,0,sell sale tell bell raw tea raid told,120009,2.03,2.06,-1,2.1,-1,-1,11611,5443,2021-12-21 13:31:11,12856
A9IYXJT90J0NK,experiment3_replication_real,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,1,"Dariusz and I worked together on this project to develop a new graphical user interface to control robots. It was pretty taxing and we both worked hard, contributing equally to the project's success. It was such a relief when we finished. My supervisor wanted to ask me questions about it and how it was working with Dariusz. I told her he was always late to meetings, left early at times, and sometimes, didn't seem to be entirely into the project.",120955,1.96,2.99,-1,1.98,6.33,6.45,6150,4722,2021-12-21 13:31:17,12857
A2AT5B7RW4VXBX,experiment3_replication_real,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,0,car-gar-tar-far-har-yar-jar-bar-mar-war-par-,120004,1.07,1.05,-1,1,-1,-1,5816,2550,2021-12-21 13:31:38,12858
A1P9ZZAW0TMNTR,experiment3_replication_real,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,0,"I hope it doesn't taste like a moth. 
It taste so dark that he now seems goth.
",120004,2.2,2.95,-1,3.01,-1,-1,8497,2693,2021-12-21 13:31:45,12859
A2XQ3CFB5HT2ZQ,experiment3_replication_real,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,0,"talking, meet, feet, treat, sweet, mill, pill, still, bards, stink, drink, rink, fink, tree, me, bee, tea, free, sea, hollar, round,",120011,4.29,3.66,-1,3.68,-1,-1,11540,7380,2021-12-21 13:31:47,12860
A34EHWOYRBL6OZ,experiment3_replication_real,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,1,I was entering the airport and as I was trying to get through the door a person shoved me out of the way to enter first. As I was walking through the airport later in a hurry to catch my flight I saw that same person struggling with their suitcase. I kept walking and paid them no mind because they did not deserve my help.,119996,3,3.11,-1,5.02,5.98,5.89,12888,7294,2021-12-21 13:32:04,12861
A11S8IAAVDXCUS,experiment3_replication_real,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,0,"sit-fit, pit, wit, lit, admit; train-rain, pain, gain; see-fee, glee; seat-feat, meat, heat; down-frown, gown; bad-glad, sad, tad",120001,1,1.97,-1,1.95,-1,-1,5982,2753,2021-12-21 13:32:24,12862
AKZUP3VY594E8,experiment3_replication_real,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,0,"Night, light, fight, right, bite, sight, slight, might, talk, hawk, gawk, sad, mad, chad, lad, cad, bright, band, canned, sand, hand, land, fanned, panned, grand, gushing, ",119999,4.93,2.46,-1,2.01,-1,-1,9010,4104,2021-12-21 13:32:38,12863
A19TD2J8506A4Y,experiment3_replication_real,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,0,Brown crown town beat feet due Sue sad mad clad bit sit fit mitt then main more door chore core ,120005,6.89,6.93,-1,6.89,-1,-1,15283,8983,2021-12-21 13:32:46,12864
A1WEN4S934ZZ1U,experiment3_replication_real,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,1,"I imagine walking along a sidewalk surrounded by trees every few squares of sidewalk. As I'm looking ahead as I walk, I see a man reach quickly stomp his foot onto the ground, look around, and crouch to grab what was under his food. I see the woman in front of him has her backpack slightly undone and watch as a lipstick and wallet fall out. The man does not stop to help her and instead walked around her. ",120009,5.02,5,-1,5.06,5.99,4.98,7794,6562,2021-12-21 13:33:02,12865
ARLGZWN6W91WD,experiment3_replication_real,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,1,I am at the cinemark waiting in line for tickets to No Way Home. I have been excited about this movie for two years. I k,120010,2.06,2.04,-1,2.03,6.04,5.97,8798,6529,2021-12-21 13:33:16,12866
ANHO7XT3KW3IY,experiment3_replication_real,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,1,"My roommate is constantly asking for help. I always help them out when I can, but whenever I need something, they never offer help. I just helped them all weekend long and asked them for a small favor this morning which they declined. Now they are asking for help again and I just don't feel like it. I know if I tell them I am working, they won't get upset. Because they feel so entitled to my time and they never recipricate, I am happy to not help.",120010,5.01,3.06,-1,5.96,6.92,7,8817,4050,2021-12-21 13:33:24,12867
A14KDNZSWDFIE7,experiment3_replication_real,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,1,"",120001,5.83,4,-1,4.98,5.94,5.11,2760,12108,2021-12-21 13:33:25,12868
A35S5YV2XL971J,experiment3_replication_real,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,1,I will ask them what soup they want vegetable or chicken broth in the kitchen . I wish to make want they want in soup . You don't feel about bad,120013,5.13,4.96,-1,5,4.89,5.62,12048,3496,2021-12-21 13:33:37,12869
A278Q2BHCINITH,experiment3_replication_real,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,0,"catch/match, flight/right, eyes/tries, walk/talk, past/fast, bad/sad, about/shout, you/who, rushing/flushing",120016,4.98,3,-1,4.91,-1,-1,16202,12064,2021-12-21 13:33:46,12870
A3I5EF53A51KYU,experiment3_replication_real,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,0,"suitcase is very important one and people are very used in anymore , rushing to catch a flight, and you see a person struggling with a heavy suitcase.",120009,6.31,6.39,-1,6.6,-1,-1,6401,2443,2021-12-21 13:33:49,12871
